Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,8111.90,8167.50,8041.70,8167.50,105477400,8167.50
2012-12-28,8276.60,8308.70,8103.90,8131.00,253633200,8131.00
2012-12-27,8236.50,8345.40,8231.20,8280.90,203332600,8280.90
2012-12-24,8261.60,8304.30,8256.00,8299.50,82703400,8299.50
2012-12-21,8223.50,8291.00,8203.80,8291.00,620088200,8291.00
2012-12-20,8226.70,8297.90,8216.80,8264.20,437325800,8264.20
2012-12-19,8192.30,8322.00,8185.40,8264.20,436319400,8264.20
2012-12-18,8068.60,8171.60,8062.90,8168.80,295580600,8168.80
2012-12-17,8017.80,8049.30,7975.00,8040.30,183125000,8040.30
2012-12-14,8025.90,8045.30,8003.60,8024.10,176921200,8024.10
2012-12-13,8005.90,8037.00,7977.30,8017.10,198052000,8017.10
2012-12-12,7935.10,7988.30,7927.30,7986.80,229127600,7986.80
2012-12-11,7813.60,7927.00,7806.20,7920.90,251448000,7920.90
2012-12-10,7796.10,7804.40,7670.80,7804.40,251311200,7804.40
2012-12-07,7915.70,7942.60,7813.10,7848.50,325544600,7848.50
2012-12-06,7905.80,7947.80,7841.80,7910.80,241408400,7910.80
2012-12-05,7948.50,7976.70,7844.70,7883.20,210381200,7883.20
2012-12-04,7871.90,7945.70,7870.90,7902.40,135636800,7902.40
2012-12-03,7963.40,8027.80,7874.10,7889.20,216205000,7889.20
2012-11-30,7967.90,7989.60,7922.70,7934.60,301074800,7934.60
2012-11-29,7887.40,7975.50,7883.80,7973.70,250039600,7973.70
2012-11-28,7839.40,7854.90,7753.70,7837.60,242358600,7837.60
2012-11-27,7936.60,7955.20,7819.70,7863.70,251031000,7863.70
2012-11-26,7882.80,7893.00,7842.60,7874.80,126452600,7874.80
2012-11-23,7887.20,7915.60,7825.10,7909.60,142357800,7909.60
2012-11-22,7828.50,7894.40,7809.00,7875.60,137975000,7875.60
2012-11-21,7751.80,7825.40,7716.80,7805.40,129036000,7805.40
2012-11-20,7722.40,7787.20,7695.50,7778.70,122783400,7778.70
2012-11-19,7661.80,7775.10,7601.70,7763.80,180508600,7763.80
2012-11-16,7694.00,7725.00,7588.20,7588.20,207278400,7588.20
2012-11-15,7615.40,7744.30,7610.40,7695.50,135767000,7695.50
2012-11-14,7695.60,7756.50,7642.80,7673.00,215127000,7673.00
